ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Active,https://portal.prizepapers.de/ship/prizepapers_ship_215cf11f-06d6-4116-89b9-538f158ebaa0/1/-/,f4b7a145-b896-4ec6-84c9-72efcd93a8a3,"Arthur Stotesbury, master of the ship 'Active', 1804",Bordeaux,North Atlantic Ocean,New Orleans,Journey interrupted by capture,[]
Roborius,https://portal.prizepapers.de/ship/prizepapers_ship_2fb26f91-cacb-437f-b4c8-8f4ec98b925d/1/-/,a25829f1-e90f-42cf-86d5-d0c41c1c77b3,"Henry Yearly, master of the 'Roborius' in 1805",Bordeaux,Tortola,New Orleans,Journey interrupted by capture,[]
Phillipsburgh,https://portal.prizepapers.de/ship/prizepapers_ship_b8ba7222-a857-4f97-a7ab-95cb695be023/1/-/,96c7fd99-88aa-4e1b-ba98-0039eb322516,,Bordeaux,North Atlantic Ocean,New Orleans,Journey interrupted by capture,[]
H B Trist,https://portal.prizepapers.de/ship/prizepapers_ship_1edd7aae-294e-4d79-8602-7e3876df33b1/1/-/,d16f9d4a-054b-4e8e-bab0-6d2d9e5d4287,"James Rinker, master of the ship 'H B Trist', 1804",Bordeaux,North Atlantic Ocean,New Orleans,Journey interrupted by capture,[]
Peregrine,https://portal.prizepapers.de/ship/prizepapers_ship_21341b81-88e6-464d-adb2-e2646210500c/1/-/,e6aaea80-82e9-4da3-84fd-51cf478d95a8,"Ignatius Webber, master of the ship 'Peregrine'",Bordeaux,Dominica,Saint Barthélemy,Journey interrupted by capture,[]
Carl,https://portal.prizepapers.de/ship/prizepapers_ship_41cf622f-5c3f-4bf5-bb32-8de64ba1b6f2/1/-/,71a0e8a2-fe10-484c-8937-adfe34f3a15b,"Jacob Pieter De Bos, master of the ship 'Carl', 1800",Bordeaux,Atlantic Ocean,Saint Barthélemy,Journey interrupted by capture,[]
Celia,https://portal.prizepapers.de/ship/prizepapers_ship_85a88ef6-0f1a-47f6-85bf-e77948a17b50/1/-/,a72b42d1-3fd6-4eb1-b345-a49c43d2d888,"Bradford Tabor, master of the 'Celia' in 1804",Bordeaux,Atlantic Ocean,Saint Barthélemy,Journey interrupted by capture,[]
Three Brothers,https://portal.prizepapers.de/ship/prizepapers_ship_19b2deb1-c428-4f76-be3f-5cd7cecf799a/1/-/,6d7ca6d8-f939-4218-a74f-577dcbe61f95,"Daniel Fitch, master of the 'Three Brothers' in 1805",Bordeaux,Chebucto,"Baltimore, Maryland",Journey interrupted by capture,[]
Molly,https://portal.prizepapers.de/ship/prizepapers_ship_99428040-81c9-4153-a49b-5abfbb235c2e/1/-/,ed2c1b7e-905f-4be7-bb26-833acc55fd38,"James Young, master of the ship 'Molly'",Bordeaux,Jersey,Cap Français,Journey interrupted by capture,[]
Norden,https://portal.prizepapers.de/ship/prizepapers_ship_e25ec5be-a772-440e-b9f8-58ea21853c49/1/-/,0d72b809-e9ef-44a7-b7f7-891519980d2a,"Emmanuel J Charisius, master of the ship 'Norden', 1799",Bordeaux,"St John, Antigua",Guadeloupe,Journey interrupted by capture,[]
Vrow Cornelia,https://portal.prizepapers.de/ship/prizepapers_ship_67b1048a-79f3-4218-9e80-700dc46ec82b/1/-/,1a6bc931-dabe-4747-be85-740d0276398e,"Tjaart Tammes Dykstra, master of the ship 'Vrow Cornelia', 1804",Bordeaux,Fowey,"Plymouth, Massachusetts",Journey interrupted by capture,[]
Four Sons,https://portal.prizepapers.de/ship/prizepapers_ship_24629417-8c8f-4bc9-b749-3cf120f2be22/1/-/,0567d3c6-bac8-46b3-bc86-238f6e8bc532,"Stephen Richardson, master of the ship 'Four Sons', 1806",Bordeaux,Atlantic Ocean,Salem,Journey interrupted by capture,[]
Jacob,https://portal.prizepapers.de/ship/prizepapers_ship_fb2e9d22-338a-406f-a6b7-54a938a24958/1/-/,ba0e0d21-7f79-4487-b292-a1566b6c6d47,"Hans Jansen Simonsen, master of the ship 'Jacob schooner', 1799",Bordeaux,Atlantic Ocean,West Indies,Journey interrupted by capture,[]
Venus,https://portal.prizepapers.de/ship/prizepapers_ship_a261341c-c5c8-4cd4-b262-c2699e31a4f1/1/-/,d428cc37-a924-4549-b0a1-b48798b2cfee,"Carl Gustef Lonberg, master of the ship 'Venus', 1800",Dieppe,Gibraltar,Málaga,Journey interrupted by capture,[]
Pelican,https://portal.prizepapers.de/ship/prizepapers_ship_77d2e20d-f027-4f9f-a540-79cc0d8e1633/1/-/,11f078ae-d35c-4d39-a53f-a53e91395cf5,"Pierre Francois Fournier, master of the ship 'Pelican', 1804",Dieppe,Newfoundland,Grand Bank of Newfoundland,Journey interrupted by capture,[]
Jongfrew Elizabeth,https://portal.prizepapers.de/ship/prizepapers_ship_14351721-0ba7-49b2-a021-c73053a4d227/1/-/,b3d6168f-bb88-4d1e-96de-5e722f03f2b8,"Sivert Anders Jacobsen, master of the ship 'Jongfrew Elizabeth', 1800",Marseille,Mediterranean Sea,Altona,Journey interrupted by capture,[]
Sieg otherwise Victoria,https://portal.prizepapers.de/ship/prizepapers_ship_5d90cdea-8199-4b9c-9949-1b0dcce9bc92/1/-/,d472efa3-0ca0-4c08-b8c9-c1a818bd6623,"Jens Petersen Groot, master of the ship 'Sieg otherwise Victoria', 1798",Marseille,North Atlantic Ocean,Hamburg,Journey interrupted by capture,
Cecilia Sophia,https://portal.prizepapers.de/ship/prizepapers_ship_6a301e51-6fe6-4571-8f7e-bf834677668e/1/-/,73b81e33-7b47-4753-998d-68fb989e4c8d,"Niels Tonne Madsen, master of the 'Cecilia Sophia' in 1797",Marseille,Mediterranean Sea,Hamburg,Journey interrupted by capture,[]
Belisarius,https://portal.prizepapers.de/ship/prizepapers_ship_280b0ac6-dee5-42fc-a10f-875eb930c438/1/-/,62765a8d-2e75-466d-bce8-8f6017dbc8dd,"William Tuck, master of the ship 'Belisarius', 1804",Marseille,North Atlantic Ocean,Boston,Journey interrupted by capture,[]
Charles,https://portal.prizepapers.de/ship/prizepapers_ship_0bcbb2c3-adb5-45b8-9628-119ef2744eb1/1/-/,ecb93b38-8a93-4f6f-85e0-56aeadffa126,"Richard Keating, master of the 'Charles' in 1807",Marseille,Mediterranean Sea,New York City,Journey interrupted by capture,[]
Henry and Francis,https://portal.prizepapers.de/ship/prizepapers_ship_10c7469d-462f-4ca5-8035-806e3cd0b5f3/1/-/,61fc273a-c5fe-4f79-890e-cc878e252594,"William Wyer, master of the ship 'Henry and Francis', 1804",Marseille,Mediterranean Sea,Malta,Journey interrupted by capture,[]
Two Brothers,https://portal.prizepapers.de/ship/prizepapers_ship_2c5e0a7c-a2c1-436f-860a-28925411bada/1/-/,fabe5ea4-7587-4a52-96a0-c5dac396b874,"Samuel Seabury, master of the ship 'Two Brothers', 1804",Marseille,Sri Lanka,Tranquebar,Journey interrupted by capture,[]
Cacciatore,https://portal.prizepapers.de/ship/prizepapers_ship_a42521da-7c26-435d-a8b6-0c9c9bd599ff/1/-/,ac5fd256-3f03-4f84-83d8-69032b898de8,"Christofano Rigianovich, master of the 'Cacciatore' in 1805",Marseille,Malta,Tunis,Journey interrupted by capture,[]
Madonna della Salute,https://portal.prizepapers.de/ship/prizepapers_ship_876282d3-4ec2-4b15-a27f-7c1465d353ce/1/-/,216522c9-4ba4-450a-a84b-d3189e05b7ed,"Luca Claich, master of the ship 'Madonna della Salute', 1804",Marseille,Gibraltar,Saint Barthélemy,Journey interrupted by capture,[]
El Campo,https://portal.prizepapers.de/ship/prizepapers_ship_3b66fffa-b3ac-44f4-b345-7baa67570eef/1/-/,27bd5944-62eb-4e42-a1c2-9ca6e0cfcf4e,"Daniel Coates, master of the ship 'El Campo', 1796",Brest,North Atlantic Ocean,Providence,Journey interrupted by capture,[]
Providentia,https://portal.prizepapers.de/ship/prizepapers_ship_275d0077-f280-4f60-848b-17dd6cc67a85/1/-/,c9dda1a8-f8ab-4eb6-ae43-00dae47d0619,"Lars Onhammer, master of the ship 'Providentia', 1801",Bilbao,Plymouth,London,Journey interrupted by capture,[]
Flora,https://portal.prizepapers.de/ship/prizepapers_ship_24852319-eeb4-4f2e-b856-519532bc52d2/1/-/,6f38e648-79ed-42ee-b66a-24148c102222,"Olfert Olferts Klein, master of the 'Flora' in 1805",Bilbao,The Channel,London,Journey interrupted by capture,[]
