ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
William and Mary,https://portal.prizepapers.de/ship/prizepapers_ship_5de46b10-f153-4f53-81ac-34e7f5ff3e86/1/-/,9961f709-34f2-4147-86fe-fa79631da05c,"Jacob Smith, master of the ship 'William and Mary', 1804","Wilmington, North Carolina",North Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Volunteer,https://portal.prizepapers.de/ship/prizepapers_ship_a5e63bda-514b-4d1a-9c3b-deb25e851fcf/1/-/,e94270a3-83cc-4f2a-bcb7-9a56d7b2a3cd,"John Stewart, master of the ship 'Volunteer', 1800",Veracruz (Mexico),Bahamas,New York City,Journey interrupted by capture,[]
Virginia and Philadelphia Packet,https://portal.prizepapers.de/ship/prizepapers_ship_d5249184-2c22-4432-b846-eac35c1feb90/1/-/,15528fac-4858-4012-b3e7-25d4f7e97a86,"John Hollett, master of the ship 'Virginia and Philadelphia Packet'",Norfolk (Virginia),Atlantic Ocean,Havana,Journey interrupted by capture,[]
Venus Havannera,https://portal.prizepapers.de/ship/prizepapers_ship_ee3cd6d1-5ea4-413d-b50b-30bfdcc869aa/1/-/,debe31e0-13cf-4dd0-b937-69057f56ab85,"Jose Sousa Teixera, master of the ship 'Venus Havannera', 1804",Bight of Bonny,Atlantic Ocean,Havana,Journey interrupted by capture,[]
Urbano,https://portal.prizepapers.de/ship/prizepapers_ship_6ee3267e-74e4-47ad-ad14-c539d90298cb/1/-/,efbf6d48-3834-4cd2-a9b7-f43aa1381bbe,"Jose Bento Salazar, master of the ship 'Urbano', 1804",Angola,Sierra Leone,Pernambuco,Journey interrupted by capture,[]
Ulea,https://portal.prizepapers.de/ship/prizepapers_ship_5a00dee3-2047-4834-b5db-7380327b75e2/1/-/,9054fc12-7fa2-4968-ba42-09c073a0b402,"Stephen Shadick, master of the ship 'Ulea', 1804","New Haven, Connecticut",Atlantic Ocean,St Croix,Journey interrupted by capture,[]
Two Friends,https://portal.prizepapers.de/ship/prizepapers_ship_96b852b1-2f1e-449f-a51c-f82c30a116f3/1/-/,7787551b-ec0a-42e6-9ae6-cea4e973e8c1,"Johannes de De Visscher, master of the ship 'Two Friends', 1804",Marennes,Atlantic Ocean,Elsinore,Journey interrupted by capture,[]
Two Friends,https://portal.prizepapers.de/ship/prizepapers_ship_6a4db1eb-e0c4-4bd3-bbbc-942833d63e2d/1/-/,62698dfa-571b-4315-815c-9663e8a5990e,"Thomas Wainwright, master of the 'Two Friends' in 1797",Guadeloupe,Montserrat,Saint Barthélemy,Journey interrupted by capture,[]
Susanna,https://portal.prizepapers.de/ship/prizepapers_ship_5f4770dd-f381-47cd-8af0-5a622c85f1e6/1/-/,022e18fe-ec06-46d8-998d-3cb9453e8516,"Carl Christian Berg, master of the 'Susanna' in 1796",Guadeloupe,Bermuda,Saint Barthélemy,Journey interrupted by capture,[]
Two Brothers,https://portal.prizepapers.de/ship/prizepapers_ship_451a238b-11c7-4f8b-af24-b7bcb9ab9826/1/-/,9782811a-29d2-4faf-b02a-cd397a90d6a8,"Samuel Candler, master of the ship 'Two Brothers', 1804",Leghorn Roads (Livorno),Atlantic Ocean,Norfolk (Virginia),Journey interrupted by capture,[]
Triomphante,https://portal.prizepapers.de/ship/prizepapers_ship_eb5605e7-d894-4b33-86c2-f76d8da737f0/1/-/,d16b570f-9d06-4f71-a1e9-c8264885c0ac,"Jean Gellibert, master of the ship 'Triomphante', 1794",St Marc,Caribbean Sea,Bordeaux,Journey interrupted by capture,[]
Three Friends,https://portal.prizepapers.de/ship/prizepapers_ship_bb24b96e-abf0-44ab-ae2c-53df16355b2f/1/-/,d7063db5-74f6-4c06-b7e4-3ce33ed5c20d,"Nicollo Guirich, master of the ship 'Three Friends otherwise Tres Amigos', 1803",Corfu,Mediterranean Sea,London,Journey interrupted by capture,[]
Thorn,https://portal.prizepapers.de/ship/prizepapers_ship_e89a9438-20f3-4cd0-9daa-8ea96086cb68/1/-/,e0505aa8-77e3-4a04-9304-0095c31331b2,"Charles Ratcliffe, master of the 'Thorn' in 1809",Port-au-Prince,Kingston,Philadelphia,Journey interrupted by capture,[]
Suckey,https://portal.prizepapers.de/ship/prizepapers_ship_6aca1562-654e-48dd-ba30-b75a64ba0084/1/-/,aa3048c9-dcb4-4c7a-9cbd-db9190797423,"Charles Collins, master of the 'Suckey' in 1794",Fort Amsterdam,North Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
Susanna Charlotta,https://portal.prizepapers.de/ship/prizepapers_ship_9bc2d69a-ae22-499e-8eef-89b9f2dc6d4e/1/-/,07d484a9-0b42-475d-ac8e-2d3be15136ea,"Peter Petersen, master of the ship 'Harregaard', 1804",Tönning,European North Sea,Málaga,Journey interrupted by capture,[]
Success,https://portal.prizepapers.de/ship/prizepapers_ship_df2c6737-09f7-431b-b616-810507f70054/1/-/,5eaaca91-e675-4a5e-a955-2a17f83c07e6,"John Palmer, master of the ship 'Success', 1801",Guadeloupe,Caribbean Sea,Saint Barthélemy,Journey interrupted by capture,[]
Fly,https://portal.prizepapers.de/ship/prizepapers_ship_4bb51eca-3b1a-497d-b310-c40a271fa358/1/-/,c73895ed-b359-413f-bd15-e4c2605a848f,"Thomas Frazier, master of the ship 'Fly', 1807",Veracruz (Mexico),Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,[]
Flora,https://portal.prizepapers.de/ship/prizepapers_ship_3ddf5642-81dd-428e-80af-4244aeda88b7/1/-/,11f9dde2-f9d2-497a-87b6-70068feb9b9d,"Frederick Lusher, master of the 'Flora' in 1813","New Haven, Connecticut",Antigua,Saint Barthélemy,Journey interrupted by capture,[]
St Georgio e L'Amicizia,https://portal.prizepapers.de/ship/prizepapers_ship_59f4bdc4-6587-4705-acf5-d137223cd661/1/-/,b304b646-6689-477e-aef4-6765ca9c6176,"Alesandra Ceffala, master of the ship St Georgio e L'Amicizia 1803",Odessa,Mediterranean Sea,Genoa,Journey interrupted by capture,[]
Federal,https://portal.prizepapers.de/ship/prizepapers_ship_7de51fee-318f-42c3-af69-a5775b40c023/1/-/,04ffa74a-8d21-42ed-80a4-462a827639b1,"David Earle, master of the ship 'Federal', 1794",North Carolina,Atlantic Ocean,Martinique,Journey interrupted by capture,[]
Favorite,https://portal.prizepapers.de/ship/prizepapers_ship_a7cc4cd9-15a9-4305-8e4c-4cd72c7fe775/1/-/,6d9069c5-23cb-46c2-8941-afacedfb6664,"Henry Fletcher, master of the ship 'Favorite', 1804",Norfolk (Virginia),Atlantic Ocean,Spanish Main,Journey interrupted by capture,[]
Famaso,https://portal.prizepapers.de/ship/prizepapers_ship_d6758c2a-2678-4350-8b36-c82d42fbad8e/1/-/,4d48fdde-0785-418e-b38e-c4c2eadc3596,"Antonio Dominico Silverstick, master of the ""Famaso"" 1803",Odessa,Mediterranean Sea,Genoa,Journey interrupted by capture,[]
Spes,https://portal.prizepapers.de/ship/prizepapers_ship_d75f5f53-9645-4796-9742-922a1af898ad/1/-/,499272ae-1686-43a4-92e5-eac0a5ca821e,"Hendrick Lutje Cornelis, master of the ship 'Spes', 1803",Archangelsk,European North Sea,Hamburg,Journey interrupted by capture,[]
Sparck,https://portal.prizepapers.de/ship/prizepapers_ship_b9c24630-4731-4c56-aeb2-fd567c930c36/1/-/,16d2f509-b8c4-416c-af6b-c95ed891d889,"Jacques Jappie, master of the 'Sparck' in 1803",Tobago,Plymouth,Dunkirk,Journey interrupted by capture,[]
Sophia Elizabeth,https://portal.prizepapers.de/ship/prizepapers_ship_c4ef03f1-36b1-430c-b4bc-89c14e8892c0/1/-/,1ef439de-4c0a-421d-ac7f-5e062177dcb8,"Booy Henrickson Prott, master of the Sophia Elizabeth 1806",Tönning,Plymouth,Algeciras,Journey interrupted by capture,[]
Sophia,https://portal.prizepapers.de/ship/prizepapers_ship_c778fa07-0527-4c03-9eb1-87a2684c95bc/1/-/,b7affd37-c474-4748-b804-8c8d976e5a3b,"John Talbot, commander of ""HMS Glenmore"" in 1801 and ""HMS Leander"" in 1805 and the Sophia 1801",Cap Français,Caribbean Sea,"Natchez, Mississippi",Journey interrupted by capture,[]
Fair,https://portal.prizepapers.de/ship/prizepapers_ship_562af5a7-5200-4319-b823-044d4ecfcb6d/1/-/,fa7542af-6d80-4904-8700-bce7d4af7b5d,"John Cunningham, master of the ""Fair schooner"", 1799",Norfolk (Virginia),Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
Europa,https://portal.prizepapers.de/ship/prizepapers_ship_2b2f2d0a-2687-4df1-b388-d3c74551c5aa/1/-/,5f6e62dc-91b0-4cad-b87d-45c57323bdfc,"Teunis Christian, master of the ship 'Europa', 1804",Tönning,Atlantic Ocean,Cádiz,Journey interrupted by capture,[]
Sea Polly,https://portal.prizepapers.de/ship/prizepapers_ship_af78f3fd-f31b-46f0-b1ac-5b2cd9f6ed79/1/-/,2d930f78-504b-4c77-886e-704c81b1e179,"James Rowell, master of the ship 'Sea Polly', 1804","Wilmington, North Carolina",Atlantic Ocean,Saint John (Kanada),Journey interrupted by capture,[]
Sea Flower schooner,https://portal.prizepapers.de/ship/prizepapers_ship_10535610-4376-4325-907a-2f12c713e96c/1/-/,cc681f0c-e0e0-4c36-84a8-a8dd2ef93883,"William Cruse, master of the ship 'Sea Flower schooner', 1800",Guadeloupe,Caribbean Sea,St Croix,Journey interrupted by capture,[]
Sao Joaquim,https://portal.prizepapers.de/ship/prizepapers_ship_bcd3d32e-5d31-4010-806f-30b150c5e70b/1/-/,1f0b5bee-6379-48d7-a88d-1dba7dbf2765,"Vincente Thomas Dos Santos, master of the ship 'Sao Joaquim', 1804",Mozambique,Atlantic Ocean,Maranhao,Journey interrupted by capture,[]
Santissima Trinita,https://portal.prizepapers.de/ship/prizepapers_ship_1a915eca-6988-4167-8387-b281ade5dbed/1/-/,8c6ac5d9-3815-4c5f-afe8-cbf3f9f2838b,"Francesco Raffo, master of the ship 'Santissima Trinita', 1803",Odessa,Mediterranean Sea,Genoa,Journey interrupted by capture,[]
Elizabeth,https://portal.prizepapers.de/ship/prizepapers_ship_f122ccb5-6f72-47b9-9761-3aa4254ad28e/1/-/,d87456d8-7229-423a-8c33-11992dc5a25e,"Tollaf  Tounesen Soestadt, master of the ship 'Elizabeth', 1804",Trieste,Atlantic Ocean,Tönning,Journey interrupted by capture,[]
Sally,https://portal.prizepapers.de/ship/prizepapers_ship_92723928-0a0b-4d72-acac-0ff283df6764/1/-/,8c82b822-0fbb-4887-b3d2-a6e0c8dbd059,"John Thompson, master of the ship 'Sally schooner', 1804",Barbados,Atlantic Ocean,Sierra Leone,Journey interrupted by capture,[]
Eliza,https://portal.prizepapers.de/ship/prizepapers_ship_1c592382-df2b-416d-bab7-dca1fc83d4f5/1/-/,5ba01ab9-fac1-4222-bafe-4f645daa5197,"Nehemiah Palmer, master of the ship 'Eliza', 1796","New London, Connecticut",Atlantic Ocean,Saint Barthélemy,Journey interrupted by capture,[]
Delight,https://portal.prizepapers.de/ship/prizepapers_ship_432d96fe-a768-488b-87e1-100743b439f7/1/-/,671deaf7-e24f-4b13-880f-ec1b1eeecc74,"John Glazier, master of the Delight brig 1800",Port-au-Prince,Atlantic Ocean,Philadelphia,Journey interrupted by capture,[]
Pelican,https://portal.prizepapers.de/ship/prizepapers_ship_22ee18ff-6bf9-4ef0-a78f-ad103a572fba/1/-/,70cbc348-491a-4277-a89a-c0be1cf38cec,"Walter Burke, master of the ""Pelican"" 1807",Port-au-Prince,Atlantic Ocean,New York City,Journey interrupted by capture,[]
Paul,https://portal.prizepapers.de/ship/prizepapers_ship_16e9bd8a-ab45-4c36-93c4-afcf9a64d7b2/1/-/,3fd8e444-3a67-4caf-88bf-35538f2b9038,"George Wills, master of the ship 'Paul schooner', 1800",Norfolk (Virginia),New Providence,Havana,Journey interrupted by capture,[]
Patriot,https://portal.prizepapers.de/ship/prizepapers_ship_9beba59d-1806-4384-ac3c-1539b288be93/1/-/,ffc0ff62-77c4-4173-b8d3-f4c0b0bfc2a1,"Wiliam Reardon, master of the ship 'Patriot', 1804",Norfolk (Virginia),Atlantic Ocean,Lisbon,Journey interrupted by capture,[]
Parthenope,https://portal.prizepapers.de/ship/prizepapers_ship_36c71eee-79be-42b6-9bfd-8faa1884331a/1/-/,ae729142-63f9-4ad7-887d-1559a8dc6fe8,"Anastasio Battali, master of the ship 'Parthenope', 1803",Odessa,Mediterranean Sea,Genoa,Journey interrupted by capture,[]
Paquette Volante,https://portal.prizepapers.de/ship/prizepapers_ship_c9a20bc4-8bf5-4306-bc3f-51f5753bf6b1/1/-/,87d0578a-0bbf-40a1-89b8-f1d7e6c06caa,"Joachim Chrysostomo Rodrigues Lopez, master of the ship 'Paquette Volante', 1804",Cabinda,Atlantic Ocean,"Bahia, Brazil",Journey interrupted by capture,[]
Pantera,https://portal.prizepapers.de/ship/prizepapers_ship_943ee55b-4fb8-4d15-a916-d591b22c8fc9/1/-/,40bf3c54-2702-409c-896a-4bf85dc282b6,"Cristoforo Rijanovich, master of the ship 'Pantera', 1804",Trieste,Mediterranean Sea,Malta,Journey interrupted by capture,[]
Olivia,https://portal.prizepapers.de/ship/prizepapers_ship_fbf5b674-9de8-4231-b834-fc46dea55b59/1/-/,7dba9673-132d-4c9c-a019-bccec492f814,"Charles Teubner, master of the ship 'Olivia', 1804",Guadeloupe,Atlantic Ocean,New York City,Journey interrupted by capture,[]
Nuestra Senora del Carmen,https://portal.prizepapers.de/ship/prizepapers_ship_fde1e99e-6274-43eb-8b86-d320c06c11da/1/-/,a93b6a62-7481-4f62-bc0c-884e6d4c5f4c,"Antonio Toso, master of the ship 'Nuestra Senora del Carmen otherwise El Nilo brig', 1800",Veracruz (Mexico),Jamaica,Havana,Journey interrupted by capture,[]
Nuestra Senora de los Remedios,https://portal.prizepapers.de/ship/prizepapers_ship_b75d3dc1-62f0-4044-b864-9edee2e1cd24/1/-/,8b4b015d-05da-483e-adce-c9cbfd30fb15,"Antonio Serra, master of the Nuestra Senora de los Remedios, 1799","Nassau, New Providence",Atlantic Ocean,Saint Domingue,Journey interrupted by capture,[]
Giunone,https://portal.prizepapers.de/ship/prizepapers_ship_28098176-51eb-4057-9a7a-787d5378888e/1/-/,d7257c40-3a74-4e05-b35e-4d890daaf936,"Giovanni Maria Casilari, master of the ship 'Giunone', 1804",Trieste,Mediterranean Sea,Ostend,Journey interrupted by capture,[]
Abel,https://portal.prizepapers.de/ship/prizepapers_ship_919af89b-3ad0-4845-ae99-bfacec8df06b/1/-/,de41704f-8e33-49b3-92a7-ae38354687b5,"Abel Blyden, master of the ship 'Abel brig', 1804","New Haven, Connecticut",Caribbean Sea,Saint Barthélemy,Journey interrupted by capture,[]
Gertrudis La Preciosa,https://portal.prizepapers.de/ship/prizepapers_ship_e4508fb2-adb3-4f62-a91d-c36d36e02f39/1/-/,8406b6b5-b19f-41b6-9fb4-18d64265ef79,"Jose Torre, master of the ship 'Gertrudis La Preciosa', 1804",Old Calabar,Atlantic Ocean,Havana,Journey interrupted by capture,[]
Joseph,https://portal.prizepapers.de/ship/prizepapers_ship_67f4f6e0-2045-41c9-ad7b-25defbfdb22a/1/-/,89ae3d48-fa27-4c35-a57c-003bfc0cedd2,"Alexander Carron, master of the ship 'Joseph', 1804","Wilmington, North Carolina",North Atlantic Ocean,Liverpool,Journey interrupted by capture,[]
Manuella,https://portal.prizepapers.de/ship/prizepapers_ship_e5847989-49c7-4cca-b027-6cc709eb33a9/1/-/,39a91c14-c0a4-4cc3-b620-286a74f002e7,"Jose Joaquin de Meyrelles, master of the ship 'Manuella', 1804",Bight of Bonny,Atlantic Ocean,Havana,Journey interrupted by capture,[]
Valentine,https://portal.prizepapers.de/ship/prizepapers_ship_b615b0ae-1147-4867-b595-83f850b28178/1/-/,b240a701-9086-4bed-959f-f9a8eb294845,"Stephen Brayton Chace, master of the 'Valentine' in 1812",Penang,Atlantic Ocean,Providence,Journey interrupted by capture,[]
Galloway,https://portal.prizepapers.de/ship/prizepapers_ship_fd810e8a-5d7f-414c-bb58-79d90ea262eb/1/-/,8e85ca8d-0f97-49e3-a185-43ba3fb0723a,"Rae, master of the Galloway in 1815",,Atlantic Ocean,Gibraltar,Journey interrupted by capture,[]
Nova Aurora,https://portal.prizepapers.de/ship/prizepapers_ship_ba45354a-ca1e-4b7f-8a5a-8d4aed668673/1/-/,cc35f420-a6b3-4f08-b9f1-850275714ff2,"Manoel Joze Coelho, master of the ship 'Nova Aurora', 1806",Cartagena,Atlantic Ocean,Porto,Journey interrupted by capture,[]
Charlotte,https://portal.prizepapers.de/ship/prizepapers_ship_81d21ee6-0dae-4622-82f4-ce4fcb4af193/1/-/,f298d41d-b474-43c2-a542-53037cb1e827,"Isaac Otto Stromsten, master of the ""Charlotte"" 1807",Vaasa,Atlantic Ocean,Lisbon,Journey interrupted by capture,[]
Notre Dame du Carmel,https://portal.prizepapers.de/ship/prizepapers_ship_cd632221-fab6-4df0-8566-9407c16082af/1/-/,8eaa6367-3e4b-4025-a54e-7604885299a9,"Antoine Cotard Bernard Bava, master of the ship 'Notre Dame du Carmel', 1804",,Tunis,Tunis,Journey interrupted by capture,[]
Norge,https://portal.prizepapers.de/ship/prizepapers_ship_1c64e7cb-c118-47da-9fad-0e093e0ce5be/1/-/,c8bf6f7e-50cb-4051-bbce-639b315f1ea7,"Carl Frederick Jansen, master of the ship 'Norge', 1804",Sylt,European North Sea,Leith,Journey interrupted by capture,[]
Charlotta Maria,https://portal.prizepapers.de/ship/prizepapers_ship_5dc5155d-e535-4b5d-b45b-66914bd6c138/1/-/,6e3339c7-918b-48b3-a65f-f82448f7d7fc,"Jurgen Bladt, master of the ship 'Charlotta Maria', 1806",Tönning,Atlantic Ocean,Barcelona,Journey interrupted by capture,[]
Neutrality,https://portal.prizepapers.de/ship/prizepapers_ship_12086fa6-9be0-4f40-a9a2-ebc501006536/1/-/,92190509-67a7-493b-8b9c-62621348e3a9,"James Holmes, master of the 'Neutrality' in 1807",Guadeloupe,St Kitts,Boston,Journey interrupted by capture,[]
Aurora,https://portal.prizepapers.de/ship/prizepapers_ship_92182780-c9fe-4665-8df8-a92054536e8d/1/-/,bd3ddeb9-6f37-4dbe-a00e-dd060d4e54d7,"C Curet, master of the ship 'Aurora', 1799",Saint Barthélemy,Caribbean Sea,Guadeloupe,Journey interrupted by capture,[]
Madonna del Carmine e L'Anime del Purgatorio,https://portal.prizepapers.de/ship/prizepapers_ship_6257ed7a-030f-4f4d-b5ed-6756168a1e90/1/-/,71aafbda-6756-4e23-81cc-a6c2d255008f,"Giuseppe Marcelli, master of the ship 'Madonna del Carmine e L'Anime del Purgatorio', 1801",Vasto,Mediterranean Sea,Trieste,Journey interrupted by capture,[]
Lucy,https://portal.prizepapers.de/ship/prizepapers_ship_88913c09-60f7-4d3a-a538-4853a38feb8c/1/-/,37bf3703-a823-4543-93c9-8ae06203d885,"Joseph Hills Woodman, master of the 'Lucy' in 1794",Port-de-Paix,Bermuda,Newburyport,Journey interrupted by capture,[]
Louisiana,https://portal.prizepapers.de/ship/prizepapers_ship_ebba78bc-ef8c-4866-a4cb-c60c0a22cd75/1/-/,fac33b56-53cb-441e-816f-2c929433fecb,"John C McFarlane, master of the ship ""Louisiana"" 1806",Philadelphia,Atlantic Ocean,La Guiara,Journey interrupted by capture,
Antonio,https://portal.prizepapers.de/ship/prizepapers_ship_644d55b4-e4ec-40e0-9a18-65c1cc16437e/1/-/,a2d19de2-1609-413a-be2d-74c4bd3e4410,"Geronimo Bastea, master of the ship 'Antonio', 1804","New Haven, Connecticut",Atlantic Ocean,Puerto Rico,Journey interrupted by capture,[]
Louisa,https://portal.prizepapers.de/ship/prizepapers_ship_5531fed6-d8da-4b98-9b40-d5f1a5cf5836/1/-/,34e44e08-6127-4248-a955-e0ab796b2be3,"Louis Benjamin Prouveur, master of the ship 'Louisa', 1799",Cap Français,Caribbean Sea,St Thomas,Journey interrupted by capture,[]
Little Sarah,https://portal.prizepapers.de/ship/prizepapers_ship_651776a8-b684-4d15-8a82-2a7b4c1d8b4d/1/-/,da6f041e-7112-4a39-bc20-ec5afd393b22,"John McCarty, master of the ship 'Little Sarah', 1804",Cap Français,Atlantic Ocean,New York City,Journey interrupted by capture,[]
Little Charlotte,https://portal.prizepapers.de/ship/prizepapers_ship_a957cc7f-d542-418c-9e92-6516967d8595/1/-/,df254f2e-109a-4bcd-9add-7f68af9cecb9,"Walter Cornell, master of the ship 'Little Charlotte sloop', 1800",Rhode Island,North Atlantic Ocean,Leghorn Roads (Livorno),Journey interrupted by capture,[]
Anna,https://portal.prizepapers.de/ship/prizepapers_ship_0f5bda4a-f98b-41cc-8b81-25a1ca557431/1/-/,b6d4233c-4f1d-4f91-8867-6990d86c4440,"John Bolles, master of the ""Anna"" 1796",Guadeloupe,Caribbean Sea,St Thomas,Journey interrupted by capture,[]
Leo,https://portal.prizepapers.de/ship/prizepapers_ship_19a7249b-a43c-400f-bb38-4bfff7836c38/1/-/,64d14e4d-228d-4de2-b7c2-071eb26e253d,"Henrick Christian Moll, master of the ship 'Leo', 1807",Tönning,Atlantic Ocean,St Thomas,Journey interrupted by capture,[]
Lark,https://portal.prizepapers.de/ship/prizepapers_ship_b9b47255-f68f-4299-bc6a-6902bb1bb459/1/-/,0653d0a0-4949-4a60-bc91-0900f1c5d940,"John Brown, master of the ship 'Lark', 1801",Port-au-Prince,North Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,[]
Lady Grace,https://portal.prizepapers.de/ship/prizepapers_ship_4007084a-d396-472e-8520-56bb3a0d67ff/1/-/,54d1d4bd-73cc-438e-ac88-144963644f54,"Antoine Mares, master of the 'Lady Grace' in 1800",Marie-Galante,Jamaica,St Thomas,Journey interrupted by capture,[]
Laaland,https://portal.prizepapers.de/ship/prizepapers_ship_982882d3-d61f-4aa9-821b-277d2e06bcea/1/-/,3cacfdde-eb94-44c8-9636-634cfde3680c,"Joachim Bumann, master of the ship ""Laaland"" 1797",Guadeloupe,Caribbean Sea,Copenhagen,Journey interrupted by capture,[]
Kleine Jurgen,https://portal.prizepapers.de/ship/prizepapers_ship_b22bd517-21ce-4959-9d5d-441013bbec02/1/-/,2e459607-b37d-42fc-a66a-57099a551719,"Booy Henrickson, master of the ship ""Kleine Jurgen"" 1806",Tönning,Atlantic Ocean,Algeciras,Journey interrupted by capture,[]
Jonge Jan,https://portal.prizepapers.de/ship/prizepapers_ship_bd7e0431-e46e-4474-8f48-03cac44356db/1/-/,dfd8422d-8304-4243-9be6-b6cb27a63e18,"H H Meyer, master of the ship 'Jonge Jan', 1801",Messina,Strait of Gibraltar,Copenhagen,Journey interrupted by capture,[]
Amedie,https://portal.prizepapers.de/ship/prizepapers_ship_51139379-8047-482d-9780-dd3d165b4c2c/1/-/,37997719-b2bb-40d3-88ef-0e2b36b97469,"James Johnson, master of the ship 'Amedie', 1804",Bight of Bonny,Atlantic Ocean,Charleston,Journey interrupted by capture,[]
Johanna Adriana,https://portal.prizepapers.de/ship/prizepapers_ship_af06ae3b-1eca-44d2-b2e9-fb96bf1d8223/1/-/,0548ee66-7a05-4349-8738-7b550b8f8be9,"Olfert Samuels Poort, master of the ship 'Johanna Adriana', 1806",Cartagena,Atlantic Ocean,Hamburg,Journey interrupted by capture,[]
Intermediate,https://portal.prizepapers.de/ship/prizepapers_ship_5bc6555e-d1e0-4371-8cdb-47ab8c703129/1/-/,024e7680-0d09-413d-a655-2f8569793d57,"Thomas A Champlin, master of the ship 'Intermediate', 1804","Aux Cayes, Saint Domingue",Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,[]
Indus,https://portal.prizepapers.de/ship/prizepapers_ship_1f8322c1-b524-4842-a220-609912fc855d/1/-/,19f7e04d-f8ca-4e9d-b5b0-ba34cd42ec71,"David Meyrick, master of the ship ""Indus"" 1805",Mauritius,Atlantic Ocean,Boston,Journey interrupted by capture,[]
Independence,https://portal.prizepapers.de/ship/prizepapers_ship_055c58b3-e026-4cf9-a9c6-54a6a7e67858/1/-/,fe17df48-16ca-42b3-a9a4-505c19f56d31,"Stephen Griffiths, master of the 'Independence' in 1807",Guadeloupe,Antigua,New York City,Journey interrupted by capture,[]
Independence,https://portal.prizepapers.de/ship/prizepapers_ship_a69a7956-17f1-4ed7-9925-4ae3bd87896c/1/-/,29ead630-f01a-4e44-8453-b2f4f6e65152,"John Sylvester, master of the ship 'Independence', 1804",Guadeloupe,Atlantic Ocean,New York City,Journey interrupted by capture,[]
Hope,https://portal.prizepapers.de/ship/prizepapers_ship_564bc170-ab8f-4d7a-9f46-0dbd207cf98d/1/-/,20012baa-2985-4e06-a324-5e9e7ec92d82,"Daniel Farley, master of the ship 'Hope', 1794",Newburyport,Atlantic Ocean,Guadeloupe,Journey interrupted by capture,[]
Hiram,https://portal.prizepapers.de/ship/prizepapers_ship_c403de2b-51a3-43a0-9cdd-6f89e326c765/1/-/,d7329c76-b1df-4f99-b739-3640fdc4eddd,"John Stocking, master of the ship 'Hiram', 1794",Guadeloupe,Atlantic Ocean,"New London, Connecticut",Journey interrupted by capture,[]
Gustavus Adolphus,https://portal.prizepapers.de/ship/prizepapers_ship_9349d0d7-2a1e-4d9e-8317-47cf34169231/1/-/,bba0c26a-e0dc-4e6f-af51-d7d1ac8b42cf,"Daniel Zetterling, master of the ship ""Gustavus Adolphus"", 1805",Norrkoping,European North Sea,Leghorn Roads (Livorno),Journey interrupted by capture,[]
Good Intent,https://portal.prizepapers.de/ship/prizepapers_ship_d6b0b008-0528-489d-bb5b-5ef14a96af9e/1/-/,ead6f381-3016-414f-987b-278e29189158,"George Archer, master of the ship 'Good Intent', 1794",Basse-terre,Atlantic Ocean,Salem,Journey interrupted by capture,[]
Goede Zaak,https://portal.prizepapers.de/ship/prizepapers_ship_e7b0b4dc-b3b0-4a1f-b6df-35c1d97d9757/1/-/,0a3bd971-74f3-4a1f-8cd0-f248821fd94e,"Gerard Maase, master of the ship 'Goede Zaak', 1798",Zierikzee,Atlantic Ocean,Leghorn Roads (Livorno),Journey interrupted by capture,[]
Hannah,https://portal.prizepapers.de/ship/prizepapers_ship_024fcf9e-f19c-468f-9df7-aa5204cc8d6c/1/-/,27cef722-c1a2-48a3-8a3c-c65faf896fdb,"Richard Saunders, master of the ""Hannah"" 1815",Guadeloupe,Atlantic Ocean,New York City,Journey interrupted by capture,[]
Freden,https://portal.prizepapers.de/ship/prizepapers_ship_1b1d4bfe-8b92-404f-b88a-21e4802f8909/1/-/,70a36b4f-af17-484d-8797-514c471ba533,"Elias Backman, master of the ""Freden otherwise Vreede"" 1793",Málaga,Bristol,Ostend,Journey interrupted by capture,[]
Salome,https://portal.prizepapers.de/ship/prizepapers_ship_ce059a87-8235-4e84-9187-a8d6872d7df6/1/-/,5a916ee6-d7ea-4ba3-83b4-fb68d451af20,"Hugh Wasson, master of the 'Salome' in 1794",Saint Domingue,Bermuda,Philadelphia,Journey interrupted by capture,[]
Mehetabel,https://portal.prizepapers.de/ship/prizepapers_ship_a948b66e-2b54-4a70-b7ba-61209f2989f1/1/-/,c3e59e20-3280-49d9-b0bc-1b72ad84148e,"Benjamin Felt Knapp, master of the ship ""Mehetabel"" 1795",Brest,North Atlantic Ocean,Virginia,Journey interrupted by capture,[]
Geheimerath Shackrathlow,https://portal.prizepapers.de/ship/prizepapers_ship_5c04a375-72c8-447f-a24c-ccdf1d06c952/1/-/,3cd9f371-2b20-4301-b347-afcc9e74efa2,"Bahne Wulff Bahnsen, master of the ship 'Geheimerath Shackrathlow', 1793",Glückstadt,European North Sea,Genoa,Journey interrupted by capture,[]
