Title	Creator	Date Searchable	Date	Call Number	Description	Notes	Subjects	Form/Genre	Contributor	Physical Collection	Physical Sub-Collection	Part of Object	Catalog Link	Rights	Digital Collection	Digitization Specifications	Date Digitized	Cataloger	Project Administrator	Unique Digital Identifier	Object File Name	Reference URL	IIIF Object Manifest Link	IIIF Page Manifest Link	IIIF Page Image Manifest Link
p. 216		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096086	mssST_57_v17_224.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/223		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:223/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/223/full/full/0/default.jpg
p. 217		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096087	mssST_57_v17_225.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/224		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:224/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/224/full/full/0/default.jpg
p. 218		1719; 1720	11 Oct 1720	"mssST 57, v. 17"	Correspondent: Panwell (Mr).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096088	mssST_57_v17_226.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/225		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:225/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/225/full/full/0/default.jpg
p. 219		1719; 1720	11 Oct 1720	"mssST 57, v. 17"	"Correspondent: Watkins, Hen."					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096089	mssST_57_v17_227.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/226		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:226/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/226/full/full/0/default.jpg
p. 220		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096090	mssST_57_v17_228.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/227		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:227/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/227/full/full/0/default.jpg
p. 221		1719; 1720	11 Oct 1720	"mssST 57, v. 17"	Correspondent: Baskett (Mr).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096091	mssST_57_v17_229.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/228		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:228/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/228/full/full/0/default.jpg
p. 222		1719; 1720	14 Oct 1720	"mssST 57, v. 17"	Correspondent: Capper (Mr).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096092	mssST_57_v17_230.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/229		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:229/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/229/full/full/0/default.jpg
p. 223		1719; 1720	14 Oct 1720	"mssST 57, v. 17"	Correspondent: Cantillon (Mr).					"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096093	mssST_57_v17_231.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/230		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:230/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/230/full/full/0/default.jpg
p. 224		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096094	mssST_57_v17_232.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/231		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:231/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/231/full/full/0/default.jpg
p. 225		1719; 1720		"mssST 57, v. 17"						"Stowe papers, 1175-1919 (bulk 1600-1900)."		Volume 17 of ST 57		"For information on using Huntington Library materials, please see Reproductions of Huntington Library Holdings: https://www.huntington.org/library-rights-permissions"	Stowe Papers	High resolution	2022:09:25	B. Black ; M. Einaudi	V. Wilkie	1096095	mssST_57_v17_233.tif	http://cdm16003.contentdm.oclc.org/cdm/ref/collection/p16003coll20/id/232		http://cdm16003.contentdm.oclc.org/iiif/p16003coll20:232/manifest.json	http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/232/full/full/0/default.jpg
