Shelfmark,UV URL,Page Label,Date,Type,Notes
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.81v,"7,27,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.82r,"7,27,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.82v,"7,27,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.83r,"7,27,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.83v,"7,27,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.83v,"8,1,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.84r,"8,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.84v,"8,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.85r,"8,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.85v,"8,3,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.86r,"8,3,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.86v,"8,10,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.87r,"8,10,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.87v,"8,10,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.88r,"8,10,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.88v,"8,10,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.89r,"8,17,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.89v,"8,17,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.90r,"8,17,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.90v,"8,17,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.91r,"8,17,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.91v,"8,17,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.92r,"8,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.92v,"8,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.93r,"8,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.93v,"8,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.94r,"8,24,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.94v,"8,24,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.95r,"8,30,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.95v,"8,30,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.96r,"8,30,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.96v,"8,30,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.97r,"8,31,21",Meeting Minutes,Evening
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.97v,"8,31,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.98r,"8,31,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.98v,"8,31,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.99r,"9,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.99v,"9,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.100r,"9,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.100v,"9,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.101r,"9,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.101v,"9,7,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.102r,"9,7,21",Meeting Minutes,
,,,,,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.102r,"9,14,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.102v,"9,14,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.103r,"9,14,21",Meeting Minutes,
MS 25500,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439203.0x000001,f.103v,"9,14,21",Meeting Minutes,
,,,,,
