id	hash	name	lat	long	value	location_type_id	parent_id	spatial_extent_id
310	63728922eb6140238da34d43090214d9	Stranraer	-5.024055	54.903367	10518	3	14	NULL
311	6c0c66124cfc4cccb45e9f618df50bd4	Oban	-5.4710467	56.415157	10519	3	14	NULL
312	f7f2f97abdd043ce8c05cd6bfa011a27	Campbeltown	-5.605374	55.424117	10520	3	14	NULL
313	aec2c38b361846deb23a94ec8e2e9fc6	Loch Dochfour	-4.3240194	57.4176589	10521	3	14	NULL
314	7c938f0626b14ceda4a605d26683155f	Dumfriesshire	-3.506	55.2000971	10522	3	14	NULL
315	affcf496d28b487d93c78ccb02ec3c32	Edinburgh	-3.188267	55.953252	10523	3	14	NULL
316	f6e458c8f41345ea8d0aa73cb0707187	Galloway	-4.1409785	55.0759404	10524	3	14	NULL
317	2f5dbd41d93142c5a937ed4c5c8bc357	Gretna	-3.0650636	54.9946732	10525	3	14	NULL
318	2f9cf25121714a018cdc340bd3575610	Jedburgh	-2.5549369	55.477721	10526	3	14	NULL
319	f646ad0025ca4c139595a7882c6381e3	Killead	-6.1822433	54.6632853	10527	3	14	NULL
320	88b4bb3842d749afbd64d4dc56219011	kincardineshire	-2.5790885	56.9331742	10528	3	14	NULL
321	8ec1b3005434417299f93d8f9a21fd98	Kirkcudbright	-4.04878	54.837569	10529	3	14	NULL
322	ead12d8fb3c34ac1a175711d2daf2e62	Kirkliston	-3.401411	55.956972	10530	3	14	NULL
323	bb22c6770dfb4b639cba841a1a6c59fc	Netherton	-2.96314	53.4774586	10531	3	14	NULL
324	22d25198a09f4317a9e3a55c584fea2b	Pentland Firth, UK	-3.115	58.716	10532	3	14	NULL
325	48eec0bf844b4c428cda8631c6ea2841	Perth, Scotland	-3.4377528	56.4015766	10533	3	14	NULL
326	65ff9bc7d1c5452188fa3c7d2fc6b3cb	Tarbolton	-4.488156	55.51224	10534	3	14	NULL
327	1692f0cc235740b4a54f5bf9ad372438	Turnberry	-4.8313868	55.3110992	10535	3	14	NULL
328	c128c4b1fc2e43ff8aa68b13beec71d6	Scotland, place unspecified	-4.01	56.78036	10599	3	14	NULL
329	6db345364faf466caa56ffc75493edb5	Cork	-8.49583	51.89861	10601	3	15	NULL
330	ad71c6ab56064760bc999e2f2ad4ae0f	Dublin	-7.55028	52.57444	10602	3	15	NULL
331	1e5eaaaa8030443881f30102a2f6a2ca	Dungarvan	0	0	10603	3	15	NULL
332	e1923afb7e11447b9ac6f1fb76f0b6f4	Galway	-9.04889	53.27194	10604	3	15	NULL
333	b284649706c442139070d1258972c8f1	Kinsale	-8.52331	51.70644	10605	3	15	NULL
334	93f4d7c2a6df4b8ba6995f08f0d2ae9c	Limerick	-8.66652	52.66222	10606	3	15	NULL
335	e7366663bf4845f1bc3258037ee82fcb	Londonderry	0	0	10607	3	15	NULL
336	354249943d644c91aab85bac1a33399f	Ringsend	-7.59139	54.79472	10608	3	15	NULL
337	686b095f556447b9a904563cd6c51451	Strangford	0	0	10609	3	15	NULL
338	180781d00ce0483eb65a623c5bcd6ce8	Waterford	-7.11	52.25833	10610	3	15	NULL
339	ca8685459d2e45c5b257073baeda1313	Wexford	0	0	10611	3	15	NULL
340	d5974a03683244b09bced853350bb460	Belfast	-5.930119	54.597285	10612	3	15	NULL
