Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,HUNT. JPG Descriptors,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,
mssST15v17,f.14r,"3,7,1720",Journal Entry,Mr Brerwod,mssST_57_v17_036.jpg,mssST_57_v17_036.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/35/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.14v,"3,9,1720",Journal Entry,Mr Lane or Larce,mssST_57_v17_037.jpg,mssST_57_v17_037.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/36/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.15r,"3,9,1720",Journal Entry,Mr Lane or Larce,mssST_57_v17_038.jpg,mssST_57_v17_038.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/37/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.15r,"3,9,1720",Journal Entry,Mr Copper,mssST_57_v17_038.jpg,mssST_57_v17_038.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/37/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.15v,"3,15,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_039.jpg,mssST_57_v17_039.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/38/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.16r,"3,15,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_040.jpg,mssST_57_v17_040.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/39/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.16v,"3,15,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_041.jpg,mssST_57_v17_041.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/40/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.17r,"3,15,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_042.jpg,mssST_57_v17_042.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/41/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.17v,"3,15,1720",Journal Entry,Mr Woodhouse,mssST_57_v17_043.jpg,mssST_57_v17_043.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/42/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.17v,"3,15,1720",Journal Entry,Major Crosbye,mssST_57_v17_043.jpg,mssST_57_v17_043.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/42/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.18r,"3,15,1720",Journal Entry,"Attorney General 
Letchmere",mssST_57_v17_044.jpg,mssST_57_v17_044.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/43/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.18r,"3,16,1720",Journal Entry,Colonel Bladen,mssST_57_v17_044.jpg,mssST_57_v17_044.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/43/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.18v,"3,22,1720",Journal Entry,Mr Drummond,mssST_57_v17_045.jpg,mssST_57_v17_045.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/44/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.19r,"3,22,1720",Journal Entry,Mr Drummond,mssST_57_v17_046.jpg,mssST_57_v17_046.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/45/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.19v,"3,22,1720",Journal Entry,Mr Drummond,mssST_57_v17_047.jpg,mssST_57_v17_047.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/46/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.19v,"3,26,1720",Journal Entry,Mr Boseowen,mssST_57_v17_047.jpg,mssST_57_v17_047.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/46/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.20r,"3,26,1720",Journal Entry,Mr Boseowen,mssST_57_v17_048.jpg,mssST_57_v17_048.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/47/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.20r,"3,26,1720",Journal Entry,Mr Hart,mssST_57_v17_048.jpg,mssST_57_v17_048.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/47/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.20r,"3,26,1720",Journal Entry,Colonel Gardner,mssST_57_v17_048.jpg,mssST_57_v17_048.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/47/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.20v,"3,26,1720",Journal Entry,Mr Drummond,mssST_57_v17_049.jpg,mssST_57_v17_049.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/48/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.20v,"3,26,1720",Journal Entry,Earl of Strafford,mssST_57_v17_049.jpg,mssST_57_v17_049.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/48/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.21r,"3,25,1720",Journal Entry,Mr Cornwall,mssST_57_v17_050.jpg,mssST_57_v17_050.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/49/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.21r,"3,31,1720",Journal Entry,Mr Woodthorpe,mssST_57_v17_050.jpg,mssST_57_v17_050.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/49/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.21v,"3,31,1720",Journal Entry,Mr Woodthorpe,mssST_57_v17_051.jpg,mssST_57_v17_051.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/50/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
