Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST15v18,f.15r,"4,18,1720",Journal Entry,Boseman,mssST_57_v18_043.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/440/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.15r,"4,19,1720",Journal Entry,Fielding,mssST_57_v18_043.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/440/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.15v,"4,19,1720",Journal Entry,Capt Herring,mssST_57_v18_044.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/441/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.15v,"4,22,1720",Journal Entry,Jennings,mssST_57_v18_044.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/441/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.16r,"4,22,1720",Journal Entry,Jennings,mssST_57_v18_045.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/442/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.16r,"4,22,1720",Journal Entry,Neville,mssST_57_v18_045.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/442/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.16r,"4,22,1720",Journal Entry,Lynn,mssST_57_v18_045.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/442/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.16r,"4,22,1720",Journal Entry,Bladen,mssST_57_v18_045.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/442/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.16v,"4,22,1720",Journal Entry,Bladen,mssST_57_v18_046.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/443/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.16v,"4,22,1720",Journal Entry,Lockwood,mssST_57_v18_046.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/443/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.16v,"4,23,1720",Journal Entry,Crags,mssST_57_v18_046.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/443/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.17r,"4,23,1720",Journal Entry,Crags,mssST_57_v18_047.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/444/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
